City,Lat,Lng,Max_Temp,Conditions,Visibility,Wind_Speed,Sunrise,Sunset,Rain,Date
weston-super-mare,51.3462,-2.97719,10.9,"Rain, Partially cloudy",7.8,37.4,07:27:33,17:25:24,17.68,14/02/2014
bath,51.385,-2.36132,10.8,"Rain, Partially cloudy",6.9,33.4,07:25:11,17:22:50,18.17,14/02/2014
bristol,51.4538,-2.59168,11,"Rain, Partially cloudy",6.9,37.5,07:26:16,17:23:36,18.81,14/02/2014
nailsea,51.4358,-2.76035,11,"Rain, Partially cloudy",7.1,38.9,07:26:54,17:24:19,16.13,14/02/2014
gloucester,51.8638,-2.24951,10.6,"Rain, Partially cloudy",9.8,29.4,07:25:52,17:21:16,16.28,14/02/2014
salisbury,51.0692,-1.79966,10.7,"Rain, Partially cloudy",7.7,37.2,07:22:13,17:21:19,15.84,14/02/2014
swindon,51.5618,-1.78181,10.8,"Rain, Partially cloudy",7.9,30.8,07:23:17,17:20:06,15.5,14/02/2014
frome,51.2286,-2.31729,10.8,"Rain, Partially cloudy",6.9,34.5,07:24:39,17:23:01,14.39,14/02/2014
bournemouth,50.7204,-1.88093,11.2,"Rain, Partially cloudy",5.8,35.4,07:21:44,17:22:25,30.18,14/02/2014
poole,50.7143,-1.98665,11.1,"Rain, Partially cloudy",5.8,36.1,07:22:09,17:22:52,27.69,14/02/2014
dorchester,50.712,-2.44158,11.1,"Rain, Partially cloudy",5.2,45.3,07:23:58,17:24:41,16.93,14/02/2014
ruthin,53.1141,-3.30418,8.5,"Rain, Partially cloudy",12.3,22.7,07:33:09,17:22:27,8.77,14/02/2014
caernarfon,53.1431,-4.27176,8.8,"Rain, Partially cloudy",11,31.2,07:37:06,17:26:15,7.68,14/02/2014
chester,53.1881,-2.89435,8.8,"Rain, Partially cloudy",12.3,25,07:31:42,17:20:37,6.32,14/02/2014
rhyl,53.3116,-3.47234,9.2,"Rain, Partially cloudy",12.1,23.6,07:34:20,17:22:38,6.52,14/02/2014
brynmawr,40.0314,-75.3154,6.3,"Rain, Partially cloudy",8.7,17,06:55:26,17:35:59,5.59,14/02/2014
bridgend,51.5088,-3.57822,10.7,"Rain, Partially cloudy",12.7,40.8,07:30:20,17:27:25,14.12,14/02/2014
port talbot,51.5912,-3.80272,10.3,Rain,9.5,55,07:31:26,17:28:08,11.93,14/02/2014
cardiff,51.4813,-3.18072,11,"Rain, Partially cloudy",8.1,28.7,07:28:41,17:25:54,14.96,14/02/2014
penarth,51.4391,-3.17455,11,"Rain, Partially cloudy",7.9,28.1,07:28:34,17:25:58,15.06,14/02/2014
pontypridd,51.5976,-3.33117,10.6,"Rain, Partially cloudy",9.8,32.4,07:29:33,17:26:14,14.3,14/02/2014
merthyr tydfil,51.7506,-3.37635,9.8,"Rain, Partially cloudy",9.7,35,07:30:06,17:26:03,13.53,14/02/2014
peterhead,57.5065,-1.79722,6.4,"Rain, Partially cloudy",12.1,22.9,07:39:38,17:04:02,1.3,14/02/2014
tarves,57.3709,-2.22197,6.7,"Rain, Partially cloudy",11.1,22.2,07:40:54,17:06:10,1.58,14/02/2014
whitehills,57.6782,-2.57988,6.6,"Rain, Partially cloudy",12.8,21.4,07:43:19,17:06:37,1,14/02/2014
rothes,57.5266,-3.20785,6.6,"Rain, Partially cloudy",17.5,22.5,07:45:20,17:09:37,1.22,14/02/2014
dundee,56.4613,-2.9676,5.9,"Rain, Partially cloudy",10.7,30.3,07:41:04,17:11:57,8.92,14/02/2014
muthill,56.3312,-3.83214,5.5,"Rain, Partially cloudy",14.7,19.6,07:44:07,17:15:48,5.78,14/02/2014
bankfoot,56.5012,-3.5159,5.6,"Rain, Partially cloudy",13.8,20.6,07:43:22,17:14:01,6.28,14/02/2014
blairgowrie,-26.1142,28.0182,26.2,Clear,10.5,7.5,05:52:09,18:51:41,0,14/02/2014
edinburgh,55.9544,-3.20144,5.8,"Rain, Partially cloudy",12.2,19.1,07:40:29,17:14:22,8.58,14/02/2014
seafield,-33.5329,27.0455,25.4,Rain,,12.8,05:46:28,19:05:00,39.43,14/02/2014
dalkeith,55.893,-3.06887,5.5,"Rain, Partially cloudy",17.2,18.3,07:39:47,17:14:01,11.61,14/02/2014
penicuik,55.8364,-3.21992,5.5,"Rain, Partially cloudy",17.6,18.4,07:40:13,17:14:47,11.57,14/02/2014
callander,56.2425,-4.2098,3.2,"Rain, Partially cloudy",14.8,46.1,07:45:22,17:17:34,7.66,14/02/2014
glasgow,55.8578,-4.24251,5.7,"Rain, Partially cloudy",8.8,23.4,07:44:22,17:18:50,8.13,14/02/2014
chryston,55.9027,-4.10744,5.5,"Rain, Partially cloudy",10.8,22,07:43:57,17:18:09,7.57,14/02/2014
kilcreggan,55.9839,-4.8366,5.6,"Rain, Partially cloudy",9.6,23,07:47:06,17:20:50,8.53,14/02/2014
balloch,56.004,-4.5789,5.6,"Rain, Partially cloudy",9.5,23.3,07:46:08,17:19:45,8.75,14/02/2014
bellshill,55.8194,-4.02508,5.2,"Rain, Partially cloudy",12.2,20.9,07:43:23,17:18:04,6.88,14/02/2014
wishaw,55.7743,-3.92083,4.6,"Rain, Partially cloudy",15.3,19.7,07:42:50,17:17:47,9.41,14/02/2014
east kilbride,55.7673,-4.18503,5.4,"Rain, Partially cloudy",10.8,22,07:43:52,17:18:51,7.49,14/02/2014
kilwinning,55.6547,-4.70457,5.7,"Rain, Partially cloudy",10,19.5,07:45:37,17:21:16,8.97,14/02/2014
largs,55.7886,-4.85995,5.6,"Rain, Partially cloudy",10,23.4,07:46:37,17:21:30,9.05,14/02/2014
